Order|Family (Scientific)|Family (English)|Genus|Species (Scientific)|Authority|Species (English)|Breeding Range|Breeding Range-Subregion(s)|Nonbreeding Range
STRUTHIONIFORMES|Struthionidae|Ostriches|Struthio|camelus|Linnaeus, 1758|Common Ostrich|AF|w, c, e, sw|
STRUTHIONIFORMES|Struthionidae|Ostriches|Struthio|molybdophanes|Reichenow, 1883|Somali Ostrich|AF|extreme se S Sudan, s, e Ethiopia, Somalia, Djibouti and n, ec Kenya|
RHEIFORMES|Rheidae|Rheas|Rhea|americana|(Linnaeus, 1758)|Greater Rhea|SA|se|
RHEIFORMES|Rheidae|Rheas|Rhea|pennata|d'Orbigny, 1837|Lesser Rhea|SA|Southern Cone|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|australis|Shaw, 1813|Southern Brown Kiwi|AU|sw South and Stewart Is. (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|mantelli|Bartlett, AD, 1852|North Island Brown Kiwi|AU|North I. (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|rowi|Tennyson, Palma, Robertson, HA, Worthy & Gill, BJ, 2003|Okarito Kiwi|AU|Okarito Forest (wc South I., New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|owenii|Gould, 1847|Little Spotted Kiwi|AU|Kapiti I. (off sw North I.) and other predator-free satellites (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|haastii|Potts, 1872|Great Spotted Kiwi|AU|montane n South I. (New Zealand)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|casuarius|(Linnaeus, 1758)|Southern Cassowary|AU|Aru Is. (sw of New Guinea), New Guinea and e Cape York Pen., ne QLD (ne Australia)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|bennetti|Gould, 1857|Dwarf Cassowary|AU|Yapen (Geelvink Bay is., nw New Guinea), New Guinea and New Britain (se Bismarck Arch.)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|unappendiculatus|Blyth, 1860|Northern Cassowary|AU|Salawati (Raja Ampat Is., nw of New Guinea), Yapen (Geelvink Bay is., nw New Guinea) and New Guinea|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Dromaius|novaehollandiae|(Latham, 1790)|Emu|AU|Australia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|tao|Temminck, 1815|Grey Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|solitarius|(Vieillot, 1819)|Solitary Tinamou|SA|e Brazil to ne Argentina and e Paraguay|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|osgoodi|Conover, 1949|Black Tinamou|SA|sc Colombia and se Peru|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|major|(Gmelin, JF, 1789)|Great Tinamou|MA, SA|s Mexico through Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|guttatus|Pelzeln, 1863|White-throated Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|bonapartei|(Gray, GR, 1867)|Highland Tinamou|MA, SA|Costa Rica to Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|julius|(Bonaparte, 1854)|Tawny-breasted Tinamou|SA|c Colombia and w Venezuela to sc Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|nigrocapillus|(Gray, GR, 1867)|Hooded Tinamou|SA|Peru and Bolivia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|berlepschi|(Rothschild, 1897)|Berlepsch's Tinamou|SA|w Colombia and nw Ecuador|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|cinereus|(Gmelin, JF, 1789)|Cinereous Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|soui|(Hermann, 1783)|Little Tinamou|MA, SA|s Mexico to e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|ptaritepui|Zimmer, JT & Phelps, WH, 1945|Tepui Tinamou|SA|Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|obsoletus|(Temminck, 1815)|Brown Tinamou|SA|widespread|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|undulatus|(Temminck, 1815)|Undulated Tinamou|SA|Amazonia and sc|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|transfasciatus|(Sclater, PL & Salvin, 1878)|Pale-browed Tinamou|SA|w Ecuador and nw Peru|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|strigulosus|(Temminck, 1815)|Brazilian Tinamou|SA|e Peru and nw Bolivia through s Amazonian Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|duidae|Zimmer, JT, 1938|Grey-legged Tinamou|SA|ec Colombia to s Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|erythropus|(Pelzeln, 1863)|Red-legged Tinamou|SA|n|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|noctivagus|(Wied-Neuwied, M, 1820)|Yellow-legged Tinamou|SA|e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|atrocapillus|(Tschudi, 1844)|Black-capped Tinamou|SA|Peru and Bolivia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|cinnamomeus|(Lesson, RP, 1842)|Thicket Tinamou|MA|wc Mexico to Costa Rica|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|boucardi|(Sclater, PL, 1860)|Slaty-breasted Tinamou|MA|s Mexico to Costa Rica|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|kerriae|(Chapman, 1915)|Choco Tinamou|MA, SA|se Panama and nw Colombia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|variegatus|(Gmelin, JF, 1789)|Variegated Tinamou|SA|Amazonia and e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|brevirostris|(Pelzeln, 1863)|Rusty Tinamou|SA|w, ne Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|bartletti|(Sclater, PL & Salvin, 1873)|Bartlett's Tinamou|SA|w Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|parvirostris|(Wagler, 1827)|Small-billed Tinamou|SA|se Peru and s Amazonian Brazil to ne Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|casiquiare|(Chapman, 1929)|Barred Tinamou|SA|e Colombia and s Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|tataupa|(Temminck, 1815)|Tataupa Tinamou|SA|e, se, sc|
TINAMIFORMES|Tinamidae|Tinamous|Rhynchotus|rufescens|(Temminck, 1815)|Red-winged Tinamou|SA|e, se, sc|
TINAMIFORMES|Tinamidae|Tinamous|Rhynchotus|maculicollis|Gray, GR, 1867|Huayco Tinamou|SA|nw Bolivia and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|taczanowskii|Sclater, PL & Salvin, 1875|Taczanowski's Tinamou|SA|sc Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|ornata|(Gray, GR, 1867)|Ornate Tinamou|SA|Peru to n Chile and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|perdicaria|(Kittlitz, 1830)|Chilean Tinamou|SA|Chile|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|cinerascens|(Burmeister, 1860)|Brushland Tinamou|SA|Southern Cone|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|pentlandii|(Gray, GR, 1867)|Andean Tinamou|SA|Ecuador to c Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|curvirostris|Sclater, PL & Salvin, 1873|Curve-billed Tinamou|SA|Ecuador, Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|boraquira|(Spix, 1825)|White-bellied Nothura|SA|e Brazil to e Bolivia and ne Paraguay|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|minor|(Spix, 1825)|Lesser Nothura|SA|se Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|darwinii|Gray, GR, 1867|Darwin's Nothura|SA|Peru to sc Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|maculosa|(Temminck, 1815)|Spotted Nothura|SA|se|
TINAMIFORMES|Tinamidae|Tinamous|Taoniscus|nanus|(Temminck, 1815)|Dwarf Tinamou|SA|se Brazil and ne Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Eudromia|elegans|Geoffroy Saint-Hilaire, I, 1832|Elegant Crested Tinamou|SA|Southern Cone|
TINAMIFORMES|Tinamidae|Tinamous|Eudromia|formosa|(Lillo, 1905)|Quebracho Crested Tinamou|SA|Paraguay and n Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Tinamotis|pentlandii|Vigors, 1837|Puna Tinamou|SA|sc Peru, n Bolivia, n Chile and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Tinamotis|ingoufi|Oustalet, 1890|Patagonian Tinamou|SA|s Chile and sw Argentina|
ANSERIFORMES|Anhimidae|Screamers|Anhima|cornuta|(Linnaeus, 1766)|Horned Screamer|SA|Colombia and Venezuela through Amazonia to Bolivia|
ANSERIFORMES|Anhimidae|Screamers|Chauna|chavaria|(Linnaeus, 1766)|Northern Screamer|SA|n Colombia and nw Venezuela|
ANSERIFORMES|Anhimidae|Screamers|Chauna|torquata|(Oken, 1816)|Southern Screamer|SA|se Peru and s Brazil to c Argentina|
ANSERIFORMES|Anseranatidae|Magpie Goose|Anseranas|semipalmata|(Latham, 1798)|Magpie Goose|AU|Trans-Fly (sc New Guinea) and ne WA to s VIC (n, e Australia)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|viduata|(Linnaeus, 1766)|White-faced Whistling Duck|AF, SA|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|autumnalis|(Linnaeus, 1758)|Black-bellied Whistling Duck|NA, MA, SA|se Texas to n Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|guttata|Schlegel, 1866|Spotted Whistling Duck|OR, AU|Sulawesi region, n, c Moluccas, New Guinea, n Cape York Pen., ne QLD (ne Australia), Umboi (w of New Britain) and New Britain (se Bismarck Arch.)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|arborea|(Linnaeus, 1758)|West Indian Whistling Duck|NA|West Indies|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|bicolor|(Vieillot, 1816)|Fulvous Whistling Duck|NA, MA, SA, AF, OR|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|eytoni|(Eyton, 1838)|Plumed Whistling Duck|AU|Australia (except sw, sc, Tasmania)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|arcuata|(Horsfield, 1824)|Wandering Whistling Duck|OR, AU|Sumatra and Philippines to Australia, New Guinea, New Britain (se Bismarck Arch.) and Fiji (sw Polynesia)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|javanica|(Horsfield, 1821)|Lesser Whistling Duck|OR|Pakistan to se China and Greater Sundas|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Thalassornis|leuconotus|Eyton, 1838|White-backed Duck|AF|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cereopsis|novaehollandiae|Latham, 1801|Cape Barren Goose|AU|islands off s Australia|adjacent coast
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|bernicla|(Linnaeus, 1758)|Brant Goose|NA, PAL|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|ruficollis|(Pallas, 1769)|Red-breasted Goose|PAL|low Arctic tundra of Yamal, Gydan and Taymyr pens. (nw Siberia)|to w, s Black Sea and s Caspian Sea; prone to vagrancy elsewhere in Eurasia
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|sandvicensis|(Vigors, 1834)|Nene|PO|Hawaiian Is.|
